ID,Name,Author,Genre
1,Final Blackout,L. Ron Hubbard,"{""Science Fiction"",""Speculative fiction""}"
2,The Wanting Seed,Anthony Burgess,"{""Speculative fiction"", ""Dystopia"", ""Utopian and dystopian fiction""}"
3,Deep Storm,Lincoln Child,"{""Thriller"",""Mystery"", ""Science Fiction"",""Speculative fiction"", ""Fiction""}"
4,The Gingerbread Girl,Stephen King,"{""Fiction""}"
5,The Killings at Badger's Drift,Caroline Graham,"{""Mystery"", ""Fiction""}"
6,Our Man in Havana,Graham Greene,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
7,That Summer,Andrew Greig,"{""Fiction"", ""Novel""}"
8,Thumbsucker,Walter Kirn,"{""Children's literature"", ""Fiction"", ""Novel""}"
9,Once a Runner,John L. Parker Jr.,"{""Novel""}"
10,Irish Love,Andrew Greeley,"{""Mystery"",""Speculative fiction""}"
11,The Sittaford Mystery,Agatha Christie,"{""Crime Fiction"",""Mystery"", ""Fiction"", ""Suspense""}"
12,The September Society,Charles Finch,"{""Crime Fiction"",""Mystery""}"
13,The Man With the Iron Heart,Harry Turtledove,"{""Alternate history""}"
14,Charlotte Sometimes,Penelope Farmer,"{""Science Fiction"",""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
15,Coot Club,Arthur Ransome,"{""Children's literature"", ""Fiction"", ""Adventure novel""}"
16,Chainfire,Terry Goodkind,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction"",""Fantasy""}"
17,Shogun: A Novel of Japan,James Clavell,"{""Historical fiction"", ""Fiction""}"
18,The Clue in the Old Album,Carolyn Keene,"{""Mystery"", ""Detective fiction"",""Children's literature""}"
19,Reckless Engineering,Nick Walters,"{""Speculative fiction""}"
20,The Octagonal Raven,"L. E. Modesitt, Jr.","{""Science Fiction"",""Speculative fiction""}"
21,The Knight,Gene Wolfe,"{""Fantasy""}"
22,The Child Garden,Geoff Ryman,"{""Science Fiction"",""Speculative fiction""}"
23,"For Us, The Living: A Comedy of Customs",Robert A. Heinlein,"{""Science Fiction"",""Speculative fiction""}"
24,Mystery of the Glowing Eye,Carolyn Keene,"{""Mystery"", ""Detective fiction"",""Children's literature""}"
25,Beasts,John Crowley,"{""Science Fiction"",""Speculative fiction""}"
26,Roderick Hudson,Henry James,"{""Novel""}"
27,Zendegi,Greg Egan,"{""Science Fiction""}"
28,Ligeia,Edgar Allan Poe,"{""Gothic fiction"", ""Horror"", ""Short story"", ""Romance novel""}"
29,Impossible,Danielle Steel,"{""Novel""}"
30,Free Fall,William Golding,"{""Fiction"", ""Novel""}"
31,Dark Magic,Christine Feehan,"{""Speculative fiction"", ""Fantasy"", ""Romance novel""}"
32,"Jack, Knave and Fool",Bruce Cook,"{""Crime Fiction"", ""Historical novel""}"
33,The Status Civilization,Robert Sheckley,"{""Science Fiction"",""Children's literature"", ""Historical fiction"",""Speculative fiction"", ""Fiction""}"
34,Eucalyptus,Murray Bail,"{""Fantasy"", ""Fiction"", ""Romance novel"", ""Novel""}"
35,Flat Stanley,Jeff Brown,"{""Children's literature""}"
